Train episodes: 0,Average Reward: -0.196
Train episodes: 25,Average Reward: -0.304
Train episodes: 50,Average Reward: -0.228
Train episodes: 75,Average Reward: -0.17
Train episodes: 100,Average Reward: -0.166
Train episodes: 125,Average Reward: -0.18
Train episodes: 150,Average Reward: -0.177
Train episodes: 175,Average Reward: -0.162
Train episodes: 200,Average Reward: -0.147
Train episodes: 225,Average Reward: -0.158
Train episodes: 250,Average Reward: -0.134
Train episodes: 275,Average Reward: -0.225
Train episodes: 300,Average Reward: -0.144
Train episodes: 325,Average Reward: -0.174
Train episodes: 350,Average Reward: -0.186
Train episodes: 375,Average Reward: -0.182
Train episodes: 400,Average Reward: -0.154
Train episodes: 425,Average Reward: -0.156
Train episodes: 450,Average Reward: -0.147
Train episodes: 475,Average Reward: -0.197
Train episodes: 500,Average Reward: -0.209
