Train episodes: 0,Average Reward: -0.732
Train episodes: 25,Average Reward: -0.221
Train episodes: 50,Average Reward: -0.228
Train episodes: 75,Average Reward: -0.147
Train episodes: 100,Average Reward: -0.138
Train episodes: 125,Average Reward: -0.181
Train episodes: 150,Average Reward: -0.171
Train episodes: 175,Average Reward: -0.269
Train episodes: 200,Average Reward: -0.21
Train episodes: 225,Average Reward: -0.193
Train episodes: 250,Average Reward: -0.212
Train episodes: 275,Average Reward: -0.176
Train episodes: 300,Average Reward: -0.151
Train episodes: 325,Average Reward: -0.152
Train episodes: 350,Average Reward: -0.151
Train episodes: 375,Average Reward: -0.128
Train episodes: 400,Average Reward: -0.2
Train episodes: 425,Average Reward: -0.151
Train episodes: 450,Average Reward: -0.149
Train episodes: 475,Average Reward: -0.079
Train episodes: 500,Average Reward: -0.109
Train episodes: 525,Average Reward: -0.16
Train episodes: 550,Average Reward: -0.198
Train episodes: 575,Average Reward: -0.177
Train episodes: 600,Average Reward: -0.22
Train episodes: 625,Average Reward: -0.181
Train episodes: 650,Average Reward: -0.173
Train episodes: 675,Average Reward: -0.102
Train episodes: 700,Average Reward: -0.174
Train episodes: 725,Average Reward: -0.147
Train episodes: 750,Average Reward: -0.098
Train episodes: 775,Average Reward: -0.195
Train episodes: 800,Average Reward: -0.19
Train episodes: 825,Average Reward: -0.126
Train episodes: 850,Average Reward: -0.086
Train episodes: 875,Average Reward: -0.108
Train episodes: 900,Average Reward: -0.07
Train episodes: 925,Average Reward: -0.138
Train episodes: 950,Average Reward: -0.087
Train episodes: 975,Average Reward: -0.119
Train episodes: 1000,Average Reward: -0.148
