Train episodes: 0,Average Reward: -0.194
Train episodes: 25,Average Reward: -0.177
Train episodes: 50,Average Reward: -0.178
Train episodes: 75,Average Reward: -0.209
Train episodes: 100,Average Reward: -0.216
Train episodes: 125,Average Reward: -0.174
Train episodes: 150,Average Reward: -0.154
Train episodes: 175,Average Reward: -0.163
Train episodes: 200,Average Reward: -0.1
Train episodes: 225,Average Reward: -0.141
Train episodes: 250,Average Reward: -0.147
Train episodes: 275,Average Reward: -0.146
Train episodes: 300,Average Reward: -0.09
Train episodes: 325,Average Reward: -0.066
Train episodes: 350,Average Reward: -0.13
Train episodes: 375,Average Reward: -0.063
Train episodes: 400,Average Reward: -0.11
Train episodes: 425,Average Reward: -0.079
Train episodes: 450,Average Reward: -0.034
Train episodes: 475,Average Reward: -0.049
Train episodes: 500,Average Reward: -0.058
Train episodes: 525,Average Reward: -0.111
Train episodes: 550,Average Reward: -0.089
Train episodes: 575,Average Reward: -0.047
Train episodes: 600,Average Reward: -0.068
Train episodes: 625,Average Reward: -0.094
Train episodes: 650,Average Reward: -0.084
Train episodes: 675,Average Reward: -0.123
Train episodes: 700,Average Reward: -0.073
Train episodes: 725,Average Reward: -0.077
Train episodes: 750,Average Reward: -0.098
Train episodes: 775,Average Reward: -0.185
Train episodes: 800,Average Reward: -0.139
Train episodes: 825,Average Reward: -0.087
Train episodes: 850,Average Reward: -0.099
Train episodes: 875,Average Reward: -0.082
Train episodes: 900,Average Reward: -0.097
Train episodes: 925,Average Reward: -0.054
Train episodes: 950,Average Reward: -0.098
Train episodes: 975,Average Reward: -0.119
Train episodes: 1000,Average Reward: -0.084
