Iteration: 1 , Total Reward: -1.0
Iteration: 2 , Total Reward: -1.0
Iteration: 3 , Total Reward: -1.0
Iteration: 4 , Total Reward: -1.0
Iteration: 5 , Total Reward: -1.0
Iteration: 6 , Total Reward: -1.0
Iteration: 7 , Total Reward: -1.0
Iteration: 8 , Total Reward: -1.0
Iteration: 9 , Total Reward: -1.0
Iteration: 10 , Total Reward: -1.0
Iteration: 11 , Total Reward: -1.0
Iteration: 12 , Total Reward: -1.0
Iteration: 13 , Total Reward: -1.0
Iteration: 14 , Total Reward: -1.0
Iteration: 15 , Total Reward: -1.0
Iteration: 16 , Total Reward: -1.0
Iteration: 17 , Total Reward: -1.0
Iteration: 18 , Total Reward: -1.0
Iteration: 19 , Total Reward: -1.0
Iteration: 20 , Total Reward: -1.0
Iteration: 21 , Total Reward: -1.0
Iteration: 22 , Total Reward: -1.0
Iteration: 23 , Total Reward: -1.0
Iteration: 24 , Total Reward: -1.0
Iteration: 25 , Total Reward: -1.0
Iteration: 26 , Total Reward: -1.0
Iteration: 27 , Total Reward: -1.0
Iteration: 28 , Total Reward: -1.0
Iteration: 29 , Total Reward: -1.0
Iteration: 30 , Total Reward: -1.0
Iteration: 31 , Total Reward: -1.0
Iteration: 32 , Total Reward: -1.0
Iteration: 33 , Total Reward: -1.0
Iteration: 34 , Total Reward: -1.0
Iteration: 35 , Total Reward: -1.0
Iteration: 36 , Total Reward: -1.0
Iteration: 37 , Total Reward: -1.0
Iteration: 38 , Total Reward: -1.0
Iteration: 39 , Total Reward: -1.0
Iteration: 40 , Total Reward: -1.0
Iteration: 41 , Total Reward: -1.0
Iteration: 42 , Total Reward: -1.0
Iteration: 43 , Total Reward: -1.0
Iteration: 44 , Total Reward: -1.0
Iteration: 45 , Total Reward: -1.0
Iteration: 46 , Total Reward: -1.0
Iteration: 47 , Total Reward: -1.0
Iteration: 48 , Total Reward: -1.0
Iteration: 49 , Total Reward: -1.0
Iteration: 50 , Total Reward: -1.0
Iteration: 51 , Total Reward: -1.0
Iteration: 52 , Total Reward: -1.0
Iteration: 53 , Total Reward: -1.0
Iteration: 54 , Total Reward: -1.0
Iteration: 55 , Total Reward: -1.0
Iteration: 56 , Total Reward: -1.0
Iteration: 57 , Total Reward: -1.0
Iteration: 58 , Total Reward: -1.0
Iteration: 59 , Total Reward: -1.0
Iteration: 60 , Total Reward: -1.0
Iteration: 61 , Total Reward: -1.0
Iteration: 62 , Total Reward: -1.0
Iteration: 63 , Total Reward: -1.0
Iteration: 64 , Total Reward: -1.0
Iteration: 65 , Total Reward: -1.0
Iteration: 66 , Total Reward: -1.0
Iteration: 67 , Total Reward: -1.0
Iteration: 68 , Total Reward: -1.0
Iteration: 69 , Total Reward: -1.0
Iteration: 70 , Total Reward: -1.0
Iteration: 71 , Total Reward: -1.0
Iteration: 72 , Total Reward: -1.0
Iteration: 73 , Total Reward: -1.0
Iteration: 74 , Total Reward: -1.0
Iteration: 75 , Total Reward: -1.0
Iteration: 76 , Total Reward: -1.0
Iteration: 77 , Total Reward: -1.0
Iteration: 78 , Total Reward: -1.0
Iteration: 79 , Total Reward: -1.0
Iteration: 80 , Total Reward: -1.0
Iteration: 81 , Total Reward: -1.0
Iteration: 82 , Total Reward: -1.0
Iteration: 83 , Total Reward: -1.0
Iteration: 84 , Total Reward: -1.0
Iteration: 85 , Total Reward: -1.0
Iteration: 86 , Total Reward: -1.0
Iteration: 87 , Total Reward: -1.0
Iteration: 88 , Total Reward: -1.0
Iteration: 89 , Total Reward: -1.0
Iteration: 90 , Total Reward: -1.0
Iteration: 91 , Total Reward: -1.0
Iteration: 92 , Total Reward: -1.0
Iteration: 93 , Total Reward: -1.0
Iteration: 94 , Total Reward: -1.0
Iteration: 95 , Total Reward: -1.0
Iteration: 96 , Total Reward: -1.0
Iteration: 97 , Total Reward: -1.0
Iteration: 98 , Total Reward: -1.0
Iteration: 99 , Total Reward: -1.0
Iteration: 100 , Total Reward: -1.0
