Iteration: 1 , Total Reward: -0.1837
Iteration: 2 , Total Reward: -0.18917
Iteration: 3 , Total Reward: -0.18658
Iteration: 4 , Total Reward: -0.1821
Iteration: 5 , Total Reward: -0.1865
Iteration: 6 , Total Reward: -0.18217
Iteration: 7 , Total Reward: -0.18595
Iteration: 8 , Total Reward: -0.18137
Iteration: 9 , Total Reward: -0.18343
Iteration: 10 , Total Reward: -0.18438
Iteration: 11 , Total Reward: -0.1814
Iteration: 12 , Total Reward: -0.18065
Iteration: 13 , Total Reward: -0.17837
Iteration: 14 , Total Reward: -0.17836
Iteration: 15 , Total Reward: -0.18778
Iteration: 16 , Total Reward: -0.18563
Iteration: 17 , Total Reward: -0.18144
Iteration: 18 , Total Reward: -0.18106
Iteration: 19 , Total Reward: -0.17675
Iteration: 20 , Total Reward: -0.18252
Iteration: 21 , Total Reward: -0.17779
Iteration: 22 , Total Reward: -0.18389
Iteration: 23 , Total Reward: -0.18107
Iteration: 24 , Total Reward: -0.18273
Iteration: 25 , Total Reward: -0.18383
Iteration: 26 , Total Reward: -0.18266
Iteration: 27 , Total Reward: -0.17676
Iteration: 28 , Total Reward: -0.18798
Iteration: 29 , Total Reward: -0.18083
Iteration: 30 , Total Reward: -0.18428
Iteration: 31 , Total Reward: -0.18329
Iteration: 32 , Total Reward: -0.18488
Iteration: 33 , Total Reward: -0.18152
Iteration: 34 , Total Reward: -0.17763
Iteration: 35 , Total Reward: -0.18128
Iteration: 36 , Total Reward: -0.18446
Iteration: 37 , Total Reward: -0.18012
Iteration: 38 , Total Reward: -0.18219
Iteration: 39 , Total Reward: -0.18188
Iteration: 40 , Total Reward: -0.18375
Iteration: 41 , Total Reward: -0.18432
Iteration: 42 , Total Reward: -0.18299
Iteration: 43 , Total Reward: -0.17859
Iteration: 44 , Total Reward: -0.18948
Iteration: 45 , Total Reward: -0.17575
Iteration: 46 , Total Reward: -0.18656
Iteration: 47 , Total Reward: -0.18503
Iteration: 48 , Total Reward: -0.18575
Iteration: 49 , Total Reward: -0.18745
Iteration: 50 , Total Reward: -0.18148
Iteration: 51 , Total Reward: -0.18427
Iteration: 52 , Total Reward: -0.18271
Iteration: 53 , Total Reward: -0.18419
Iteration: 54 , Total Reward: -0.18526
Iteration: 55 , Total Reward: -0.17937
Iteration: 56 , Total Reward: -0.18601
Iteration: 57 , Total Reward: -0.19002
Iteration: 58 , Total Reward: -0.17854
Iteration: 59 , Total Reward: -0.18448
Iteration: 60 , Total Reward: -0.18053
Iteration: 61 , Total Reward: -0.18123
Iteration: 62 , Total Reward: -0.18233
Iteration: 63 , Total Reward: -0.18767
Iteration: 64 , Total Reward: -0.18326
Iteration: 65 , Total Reward: -0.18621
Iteration: 66 , Total Reward: -0.18093
Iteration: 67 , Total Reward: -0.18394
Iteration: 68 , Total Reward: -0.18474
Iteration: 69 , Total Reward: -0.18405
Iteration: 70 , Total Reward: -0.18115
Iteration: 71 , Total Reward: -0.18424
Iteration: 72 , Total Reward: -0.18454
Iteration: 73 , Total Reward: -0.18493
Iteration: 74 , Total Reward: -0.18447
Iteration: 75 , Total Reward: -0.18355
Iteration: 76 , Total Reward: -0.18519
Iteration: 77 , Total Reward: -0.18611
Iteration: 78 , Total Reward: -0.18759
Iteration: 79 , Total Reward: -0.18513
Iteration: 80 , Total Reward: -0.18182
Iteration: 81 , Total Reward: -0.18218
Iteration: 82 , Total Reward: -0.1814
Iteration: 83 , Total Reward: -0.18312
Iteration: 84 , Total Reward: -0.18766
Iteration: 85 , Total Reward: -0.18813
Iteration: 86 , Total Reward: -0.18416
Iteration: 87 , Total Reward: -0.18056
Iteration: 88 , Total Reward: -0.19052
Iteration: 89 , Total Reward: -0.18961
Iteration: 90 , Total Reward: -0.18102
Iteration: 91 , Total Reward: -0.18303
Iteration: 92 , Total Reward: -0.18302
Iteration: 93 , Total Reward: -0.18625
Iteration: 94 , Total Reward: -0.18004
Iteration: 95 , Total Reward: -0.18101
Iteration: 96 , Total Reward: -0.18629
Iteration: 97 , Total Reward: -0.17946
Iteration: 98 , Total Reward: -0.17915
Iteration: 99 , Total Reward: -0.18076
Iteration: 100 , Total Reward: -0.18675
