Iteration: 1 , Total Reward: -0.38979
Iteration: 2 , Total Reward: -0.39516
Iteration: 3 , Total Reward: -0.39771
Iteration: 4 , Total Reward: -0.40048
Iteration: 5 , Total Reward: -0.39377
Iteration: 6 , Total Reward: -0.39437
Iteration: 7 , Total Reward: -0.39049
Iteration: 8 , Total Reward: -0.39473
Iteration: 9 , Total Reward: -0.39539
Iteration: 10 , Total Reward: -0.39533
Iteration: 11 , Total Reward: -0.39338
Iteration: 12 , Total Reward: -0.39214
Iteration: 13 , Total Reward: -0.39813
Iteration: 14 , Total Reward: -0.39915
Iteration: 15 , Total Reward: -0.39636
Iteration: 16 , Total Reward: -0.392
Iteration: 17 , Total Reward: -0.39504
Iteration: 18 , Total Reward: -0.39085
Iteration: 19 , Total Reward: -0.39466
Iteration: 20 , Total Reward: -0.39203
Iteration: 21 , Total Reward: -0.39111
Iteration: 22 , Total Reward: -0.39934
Iteration: 23 , Total Reward: -0.39111
Iteration: 24 , Total Reward: -0.38919
Iteration: 25 , Total Reward: -0.39175
Iteration: 26 , Total Reward: -0.39624
Iteration: 27 , Total Reward: -0.39624
Iteration: 28 , Total Reward: -0.39185
Iteration: 29 , Total Reward: -0.39739
Iteration: 30 , Total Reward: -0.39662
Iteration: 31 , Total Reward: -0.39759
Iteration: 32 , Total Reward: -0.39077
Iteration: 33 , Total Reward: -0.39778
Iteration: 34 , Total Reward: -0.39769
Iteration: 35 , Total Reward: -0.39462
Iteration: 36 , Total Reward: -0.39699
Iteration: 37 , Total Reward: -0.39782
Iteration: 38 , Total Reward: -0.39849
Iteration: 39 , Total Reward: -0.3861
Iteration: 40 , Total Reward: -0.38673
Iteration: 41 , Total Reward: -0.39259
Iteration: 42 , Total Reward: -0.39396
Iteration: 43 , Total Reward: -0.39408
Iteration: 44 , Total Reward: -0.39215
Iteration: 45 , Total Reward: -0.39467
Iteration: 46 , Total Reward: -0.39428
Iteration: 47 , Total Reward: -0.39877
Iteration: 48 , Total Reward: -0.39507
Iteration: 49 , Total Reward: -0.3968
Iteration: 50 , Total Reward: -0.39423
Iteration: 51 , Total Reward: -0.39585
Iteration: 52 , Total Reward: -0.39891
Iteration: 53 , Total Reward: -0.39282
Iteration: 54 , Total Reward: -0.39247
Iteration: 55 , Total Reward: -0.39454
Iteration: 56 , Total Reward: -0.39748
Iteration: 57 , Total Reward: -0.39431
Iteration: 58 , Total Reward: -0.38824
Iteration: 59 , Total Reward: -0.3934
Iteration: 60 , Total Reward: -0.39531
Iteration: 61 , Total Reward: -0.39541
Iteration: 62 , Total Reward: -0.399
Iteration: 63 , Total Reward: -0.3921
Iteration: 64 , Total Reward: -0.39703
Iteration: 65 , Total Reward: -0.39102
Iteration: 66 , Total Reward: -0.39524
Iteration: 67 , Total Reward: -0.39813
Iteration: 68 , Total Reward: -0.39404
Iteration: 69 , Total Reward: -0.39703
Iteration: 70 , Total Reward: -0.39248
Iteration: 71 , Total Reward: -0.39161
Iteration: 72 , Total Reward: -0.3936
Iteration: 73 , Total Reward: -0.39141
Iteration: 74 , Total Reward: -0.39371
Iteration: 75 , Total Reward: -0.39742
Iteration: 76 , Total Reward: -0.39316
Iteration: 77 , Total Reward: -0.39235
Iteration: 78 , Total Reward: -0.39687
Iteration: 79 , Total Reward: -0.39673
Iteration: 80 , Total Reward: -0.39161
Iteration: 81 , Total Reward: -0.3983
Iteration: 82 , Total Reward: -0.39272
Iteration: 83 , Total Reward: -0.39377
Iteration: 84 , Total Reward: -0.39673
Iteration: 85 , Total Reward: -0.39157
Iteration: 86 , Total Reward: -0.39362
Iteration: 87 , Total Reward: -0.39356
Iteration: 88 , Total Reward: -0.38965
Iteration: 89 , Total Reward: -0.39024
Iteration: 90 , Total Reward: -0.39443
Iteration: 91 , Total Reward: -0.39461
Iteration: 92 , Total Reward: -0.39242
Iteration: 93 , Total Reward: -0.39579
Iteration: 94 , Total Reward: -0.39607
Iteration: 95 , Total Reward: -0.39505
Iteration: 96 , Total Reward: -0.39572
Iteration: 97 , Total Reward: -0.3947
Iteration: 98 , Total Reward: -0.39585
Iteration: 99 , Total Reward: -0.3921
Iteration: 100 , Total Reward: -0.39479
