Train episodes: 1000, Average Reward: -0.328
Train episodes: 2000, Average Reward: -0.2315
Train episodes: 3000, Average Reward: -0.19366666666666665
Train episodes: 4000, Average Reward: -0.17425
Train episodes: 5000, Average Reward: -0.1636
Train episodes: 6000, Average Reward: -0.148
Train episodes: 7000, Average Reward: -0.14014285714285715
Train episodes: 8000, Average Reward: -0.1325
Train episodes: 9000, Average Reward: -0.128
Train episodes: 10000, Average Reward: -0.1287
Train episodes: 11000, Average Reward: -0.126
Train episodes: 12000, Average Reward: -0.12325
Train episodes: 13000, Average Reward: -0.12130769230769231
Train episodes: 14000, Average Reward: -0.11892857142857143
Train episodes: 15000, Average Reward: -0.1158
Train episodes: 16000, Average Reward: -0.114625
Train episodes: 17000, Average Reward: -0.11447058823529412
Train episodes: 18000, Average Reward: -0.1126111111111111
Train episodes: 19000, Average Reward: -0.11178947368421052
Train episodes: 20000, Average Reward: -0.1113
Train episodes: 21000, Average Reward: -0.11
Train episodes: 22000, Average Reward: -0.1115
Train episodes: 23000, Average Reward: -0.11121739130434782
Train episodes: 24000, Average Reward: -0.11329166666666667
Train episodes: 25000, Average Reward: -0.1106
Train episodes: 26000, Average Reward: -0.10926923076923077
Train episodes: 27000, Average Reward: -0.10885185185185185
Train episodes: 28000, Average Reward: -0.10875
Train episodes: 29000, Average Reward: -0.10968965517241379
Train episodes: 30000, Average Reward: -0.11066666666666666
Train episodes: 31000, Average Reward: -0.109
Train episodes: 32000, Average Reward: -0.10796875
Train episodes: 33000, Average Reward: -0.10618181818181818
Train episodes: 34000, Average Reward: -0.10664705882352941
Train episodes: 35000, Average Reward: -0.10597142857142858
Train episodes: 36000, Average Reward: -0.10680555555555556
Train episodes: 37000, Average Reward: -0.10554054054054055
Train episodes: 38000, Average Reward: -0.10663157894736842
Train episodes: 39000, Average Reward: -0.10446153846153847
Train episodes: 40000, Average Reward: -0.10495
Train episodes: 41000, Average Reward: -0.1047560975609756
Train episodes: 42000, Average Reward: -0.10464285714285715
Train episodes: 43000, Average Reward: -0.10369767441860465
Train episodes: 44000, Average Reward: -0.10418181818181818
Train episodes: 45000, Average Reward: -0.10426666666666666
Train episodes: 46000, Average Reward: -0.10304347826086957
Train episodes: 47000, Average Reward: -0.10359574468085106
Train episodes: 48000, Average Reward: -0.1024375
Train episodes: 49000, Average Reward: -0.10202040816326531
Train episodes: 50000, Average Reward: -0.10178
Train episodes: 51000, Average Reward: -0.10152941176470588
Train episodes: 52000, Average Reward: -0.10103846153846154
Train episodes: 53000, Average Reward: -0.10118867924528302
Train episodes: 54000, Average Reward: -0.1017037037037037
Train episodes: 55000, Average Reward: -0.10210909090909091
Train episodes: 56000, Average Reward: -0.10226785714285715
Train episodes: 57000, Average Reward: -0.10294736842105263
Train episodes: 58000, Average Reward: -0.10329310344827586
Train episodes: 59000, Average Reward: -0.10323728813559321
Train episodes: 60000, Average Reward: -0.10345
Train episodes: 61000, Average Reward: -0.10373770491803279
Train episodes: 62000, Average Reward: -0.10348387096774193
Train episodes: 63000, Average Reward: -0.1027936507936508
Train episodes: 64000, Average Reward: -0.1024375
Train episodes: 65000, Average Reward: -0.10212307692307693
Train episodes: 66000, Average Reward: -0.10190909090909091
Train episodes: 67000, Average Reward: -0.10201492537313434
Train episodes: 68000, Average Reward: -0.10173529411764706
Train episodes: 69000, Average Reward: -0.10182608695652173
Train episodes: 70000, Average Reward: -0.10164285714285715
Train episodes: 71000, Average Reward: -0.10198591549295774
Train episodes: 72000, Average Reward: -0.103125
Train episodes: 73000, Average Reward: -0.10301369863013699
Train episodes: 74000, Average Reward: -0.10320270270270271
Train episodes: 75000, Average Reward: -0.10341333333333333
Train episodes: 76000, Average Reward: -0.10276315789473685
Train episodes: 77000, Average Reward: -0.10231168831168831
Train episodes: 78000, Average Reward: -0.10185897435897436
Train episodes: 79000, Average Reward: -0.10206329113924051
Train episodes: 80000, Average Reward: -0.10225
Train episodes: 81000, Average Reward: -0.102
Train episodes: 82000, Average Reward: -0.10248780487804877
Train episodes: 83000, Average Reward: -0.10174698795180723
Train episodes: 84000, Average Reward: -0.10166666666666667
Train episodes: 85000, Average Reward: -0.10215294117647059
Train episodes: 86000, Average Reward: -0.10159302325581396
Train episodes: 87000, Average Reward: -0.1016896551724138
Train episodes: 88000, Average Reward: -0.10179545454545455
Train episodes: 89000, Average Reward: -0.10195505617977528
Train episodes: 90000, Average Reward: -0.10223333333333333
Train episodes: 91000, Average Reward: -0.10250549450549451
Train episodes: 92000, Average Reward: -0.10231521739130435
Train episodes: 93000, Average Reward: -0.10235483870967742
Train episodes: 94000, Average Reward: -0.10288297872340425
Train episodes: 95000, Average Reward: -0.1031578947368421
Train episodes: 96000, Average Reward: -0.10308333333333333
Train episodes: 97000, Average Reward: -0.1033298969072165
Train episodes: 98000, Average Reward: -0.10263265306122449
Train episodes: 99000, Average Reward: -0.10254545454545455
Train episodes: 100000, Average Reward: -0.10228
